  0.000E+00  Sec
 ETA = 0
  4.186E-23 0.000E+00 0.000E+00
  6.279E-23 0.000E+00 0.000E+00
  8.371E-23 0.000E+00 0.000E+00
  1.046E-22 0.000E+00 0.000E+00
  1.256E-22 0.000E+00 0.000E+00
  1.465E-22 0.000E+00 0.000E+00
  1.674E-22 0.000E+00 0.000E+00
  1.884E-22 0.000E+00 0.000E+00
  2.093E-22 0.000E+00 0.000E+00
  2.302E-22 0.000E+00 0.000E+00
  2.511E-22 0.000E+00 0.000E+00
  2.721E-22 0.000E+00 0.000E+00
  2.930E-22 0.000E+00 0.000E+00
  3.139E-22 0.000E+00 0.000E+00
  3.349E-22 0.000E+00 0.000E+00
  3.558E-22 0.000E+00 0.000E+00
  3.767E-22 0.000E+00 0.000E+00
  3.976E-22 0.000E+00 0.000E+00
  4.186E-22 0.000E+00 0.000E+00
  4.395E-22 0.000E+00 0.000E+00
  4.604E-22 0.000E+00 0.000E+00
  4.814E-22 0.000E+00 0.000E+00
  5.023E-22 0.000E+00 0.000E+00
  5.232E-22 0.000E+00 0.000E+00
  5.441E-22 0.000E+00 0.000E+00
  5.651E-22 0.000E+00 0.000E+00
  5.860E-22 0.000E+00 0.000E+00
  6.069E-22 0.000E+00 0.000E+00
  6.279E-22 0.000E+00 0.000E+00
  6.488E-22 0.000E+00 0.000E+00
  6.697E-22 0.000E+00 0.000E+00
  6.906E-22 0.000E+00 0.000E+00
  7.116E-22 0.000E+00 0.000E+00
  7.325E-22 0.000E+00 0.000E+00
  7.534E-22 0.000E+00 0.000E+00
  7.744E-22 0.000E+00 0.000E+00
  7.953E-22 0.000E+00 0.000E+00
  8.162E-22 0.000E+00 0.000E+00
  8.371E-22 0.000E+00 0.000E+00
  8.581E-22 0.000E+00 0.000E+00
  8.790E-22 0.000E+00 0.000E+00
  8.999E-22 0.000E+00 0.000E+00
  9.209E-22 0.000E+00 0.000E+00
  9.418E-22 0.000E+00 0.000E+00
  9.627E-22 0.000E+00 0.000E+00
  9.836E-22 0.000E+00 0.000E+00
  1.005E-21 0.000E+00 0.000E+00
  1.025E-21 0.000E+00 0.000E+00
  1.046E-21 0.000E+00 0.000E+00
  1.067E-21 0.000E+00 0.000E+00
  1.088E-21 0.000E+00 0.000E+00
  1.109E-21 0.000E+00 0.000E+00
  1.130E-21 0.000E+00 0.000E+00
  1.151E-21 0.000E+00 0.000E+00
  1.172E-21 0.000E+00 0.000E+00
  1.193E-21 0.000E+00 0.000E+00
  1.214E-21 0.000E+00 0.000E+00
  1.235E-21 0.000E+00 0.000E+00
  1.256E-21 0.000E+00 0.000E+00
  1.277E-21 0.000E+00 0.000E+00
  1.298E-21 0.000E+00 0.000E+00
  1.318E-21 0.000E+00 0.000E+00
  1.339E-21 0.000E+00 0.000E+00
  1.360E-21 0.000E+00 0.000E+00
  1.381E-21 0.000E+00 0.000E+00
  1.402E-21 0.000E+00 0.000E+00
  1.423E-21 0.000E+00 0.000E+00
  1.444E-21 0.000E+00 0.000E+00
  1.465E-21 0.000E+00 0.000E+00
  1.486E-21 0.000E+00 0.000E+00
  1.507E-21 0.000E+00 0.000E+00
